               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.023785,            0.016616,           0.0012611,             0.84651,             0.85802,             0.87897,             0.69024,            0.028844,            0.008517,           0.0010305,           0.0032114,           0.0032114,           0.0032114
                  98,            0.024013,            0.016901,           0.0012803,             0.84594,             0.85114,             0.87872,             0.68194,            0.027831,            0.008538,          0.00062782,           0.0031407,           0.0031407,           0.0031407
                  99,             0.02399,            0.016798,           0.0013358,             0.83171,             0.85566,             0.87738,             0.68408,            0.027919,           0.0087435,           0.0011556,             0.00307,             0.00307,             0.00307
                 100,            0.023938,             0.01664,           0.0012805,             0.84172,             0.85922,             0.87024,             0.68473,            0.028103,           0.0087175,           0.0021235,           0.0029993,           0.0029993,           0.0029993
                 101,            0.023828,            0.016722,           0.0012478,             0.83052,             0.85489,             0.87159,             0.69093,            0.028418,           0.0087011,           0.0017293,           0.0029286,           0.0029286,           0.0029286
                 102,            0.023377,            0.016574,           0.0011407,             0.83198,             0.84011,             0.86894,             0.68985,            0.028184,           0.0088048,           0.0013917,           0.0028579,           0.0028579,           0.0028579
                 103,            0.023543,            0.016623,           0.0012281,             0.84162,             0.85241,             0.87646,             0.68486,            0.028123,           0.0088181,           0.0013848,           0.0027871,           0.0027871,           0.0027871
                 104,            0.023314,             0.01628,           0.0011503,             0.84468,             0.85965,             0.87698,              0.6938,             0.02837,           0.0087137,           0.0017134,           0.0027164,           0.0027164,           0.0027164
                 105,            0.023451,            0.016276,           0.0012145,             0.83121,             0.86521,             0.87947,             0.68959,            0.028424,           0.0087566,           0.0020281,           0.0026457,           0.0026457,           0.0026457
                 106,            0.022879,            0.016219,           0.0012143,             0.83624,             0.85742,             0.88103,             0.69056,            0.027954,           0.0087919,           0.0014819,            0.002575,            0.002575,            0.002575
